timestamp,customer_num,location
2019-09-02 07:03:00,1,dairy
2019-09-02 07:04:00,1,dairy
2019-09-02 07:05:00,1,checkout
2019-09-02 07:03:00,2,dairy
2019-09-02 07:04:00,2,dairy
2019-09-02 07:05:00,2,dairy
2019-09-02 07:06:00,2,checkout
2019-09-02 07:04:00,3,dairy
2019-09-02 07:05:00,3,dairy
2019-09-02 07:06:00,3,checkout
2019-09-02 07:04:00,4,dairy
2019-09-02 07:05:00,4,dairy
2019-09-02 07:06:00,4,dairy
2019-09-02 07:07:00,4,dairy
2019-09-02 07:08:00,4,checkout
2019-09-02 07:04:00,5,spices
2019-09-02 07:05:00,5,checkout
2019-09-02 07:04:00,6,spices
2019-09-02 07:05:00,6,dairy
2019-09-02 07:06:00,6,dairy
2019-09-02 07:07:00,6,dairy
2019-09-02 07:08:00,6,dairy
2019-09-02 07:09:00,6,dairy
2019-09-02 07:10:00,6,dairy
2019-09-02 07:11:00,6,dairy
2019-09-02 07:12:00,6,dairy
2019-09-02 07:13:00,6,dairy
2019-09-02 07:14:00,6,dairy
2019-09-02 07:15:00,6,dairy
2019-09-02 07:16:00,6,dairy
2019-09-02 07:17:00,6,spices
2019-09-02 07:18:00,6,drinks
2019-09-02 07:19:00,6,drinks
2019-09-02 07:20:00,6,drinks
2019-09-02 07:21:00,6,drinks
2019-09-02 07:22:00,6,drinks
2019-09-02 07:23:00,6,drinks
2019-09-02 07:24:00,6,drinks
2019-09-02 07:25:00,6,spices
2019-09-02 07:26:00,6,dairy
2019-09-02 07:27:00,6,spices
2019-09-02 07:28:00,6,spices
2019-09-02 07:29:00,6,checkout
2019-09-02 07:04:00,7,spices
2019-09-02 07:05:00,7,drinks
2019-09-02 07:06:00,7,drinks
2019-09-02 07:07:00,7,drinks
2019-09-02 07:08:00,7,drinks
2019-09-02 07:09:00,7,spices
2019-09-02 07:10:00,7,spices
2019-09-02 07:11:00,7,fruit
2019-09-02 07:12:00,7,fruit
2019-09-02 07:13:00,7,checkout
2019-09-02 07:04:00,8,fruit
2019-09-02 07:05:00,8,fruit
2019-09-02 07:06:00,8,fruit
2019-09-02 07:07:00,8,checkout
2019-09-02 07:06:00,9,dairy
2019-09-02 07:07:00,9,dairy
2019-09-02 07:08:00,9,dairy
2019-09-02 07:09:00,9,dairy
2019-09-02 07:10:00,9,dairy
2019-09-02 07:11:00,9,dairy
2019-09-02 07:12:00,9,fruit
2019-09-02 07:13:00,9,checkout
2019-09-02 07:06:00,10,fruit
2019-09-02 07:07:00,10,fruit
2019-09-02 07:08:00,10,checkout
2019-09-02 07:06:00,11,drinks
2019-09-02 07:07:00,11,drinks
2019-09-02 07:08:00,11,checkout
2019-09-02 07:06:00,12,spices
2019-09-02 07:07:00,12,drinks
2019-09-02 07:08:00,12,drinks
2019-09-02 07:09:00,12,drinks
2019-09-02 07:10:00,12,checkout
2019-09-02 07:06:00,13,dairy
2019-09-02 07:07:00,13,dairy
2019-09-02 07:08:00,13,dairy
2019-09-02 07:09:00,13,dairy
2019-09-02 07:10:00,13,dairy
2019-09-02 07:11:00,13,dairy
2019-09-02 07:12:00,13,dairy
2019-09-02 07:13:00,13,spices
2019-09-02 07:14:00,13,dairy
2019-09-02 07:15:00,13,fruit
2019-09-02 07:16:00,13,checkout
2019-09-02 07:06:00,14,fruit
2019-09-02 07:07:00,14,fruit
2019-09-02 07:08:00,14,fruit
2019-09-02 07:09:00,14,checkout
2019-09-02 07:07:00,15,spices
2019-09-02 07:08:00,15,fruit
2019-09-02 07:09:00,15,fruit
2019-09-02 07:10:00,15,fruit
2019-09-02 07:11:00,15,fruit
2019-09-02 07:12:00,15,checkout
2019-09-02 07:07:00,16,dairy
2019-09-02 07:08:00,16,dairy
2019-09-02 07:09:00,16,spices
